regra,latencia_media_segundos,latencia_std_segundos,num_chamadas
rule_injection_combined,1.1407232087255238e-06,5.783618597537873e-06,200052
rule_masquerade_fake_normal_replay,1.13573584332779e-06,3.784924752679984e-06,200052
rule_masquerade_fake_fault_estatistica,1.113440487953568e-06,1.2399771367384688e-05,200052
rule_masquerade_fake_fault_replay,1.1026832650180706e-06,4.5408601486275725e-06,200052
rule_masquerade_fake_fault_estatistica2,1.101323286732147e-06,5.330069771908283e-06,200052
rule_inverse_replay_replay,1.0667339563578232e-06,1.0648740631847029e-05,200052
rule_masquerade_fake_fault_sqnum_reset_pattern,1.0596347825423469e-06,2.925278028487668e-06,200052
rule_random_replay_go_id_alterado,1.0311579822793523e-06,1.3234308218847553e-06,200052
rule_inverse_replay_alternancia,1.0282330415537531e-06,7.914109854533755e-06,200052
rule_masquerade_fake_normal_sqnum_padrão_irregular,1.021099161312801e-06,7.453647127104646e-06,200052
rule_injection_stnum_com_incremento_anormal,1.0126259336565935e-06,6.826594754827257e-06,200052
rule_inverse_replay_retransmissao_exata,9.99144960760014e-07,7.310424812087671e-06,200052
rule_masquerade_fake_fault_rapid_packets,9.941161292560501e-07,8.531747919443773e-06,200052
rule_masquerade_fake_normal_combinação_de_campos_inconsistente,9.896951832578398e-07,8.756573312940175e-07,200052
rule_inverse_replay_length_diff,9.86244802040168e-07,5.275520858415154e-06,200052
rule_inverse_replay_combinado,9.81434212494224e-07,5.473332992443938e-06,200052
rule_masquerade_fake_fault_combinacao_de_campos_inconsistente,9.789021436743038e-07,9.032463037523792e-06,200052
rule_injection_go_id_com_desvio_estatistico,9.675430313368766e-07,1.2265972140283384e-06,200052
rule_masquerade_fake_fault_combination_anomaly,9.568362812565727e-07,2.4025703135535643e-06,200052
rule_masquerade_fake_normal_injection,9.558708515668087e-07,5.571164964876077e-06,200052
rule_masquerade_fake_fault_falsification,9.418363881780636e-07,2.6448488783820654e-06,200052
rule_inverse_replay_falsification,9.330985990368657e-07,3.1731115617195863e-06,200052
rule_masquerade_fake_normal_stnum_muito_acima_do_padrao,9.270534615136683e-07,1.1629204837898101e-05,200052
rule_inverse_replay_jumps_stnum_time_diff,8.963678487754367e-07,2.0386121848896052e-06,200052
rule_masquerade_fake_normal_padrão_temporal_irregular,8.961091103987871e-07,1.1537648514399223e-05,200052
rule_poisoned_high_rate_stnum_muito_acima_do_padrao,8.950413808402578e-07,5.404037666941893e-06,200052
rule_masquerade_fake_fault_timestamp_diff_desvio_estatistico,8.95024616735969e-07,6.251278200576377e-06,200052
rule_masquerade_fake_fault_packet_disappearance,8.81835089273451e-07,8.451596850963132e-07,200052
rule_masquerade_fake_fault_rajada_de_pacotes,8.813328248114945e-07,3.073070699228591e-06,200052
rule_high_StNum_cb_status_timestamp_diff_frame_length_diff_anomalous,8.794101897823519e-07,2.8243179561409354e-06,200052
rule_masquerade_fake_fault_sqnum_nao_segue_padrao,8.640722201036233e-07,3.686422179175284e-06,200052
rule_random_replay_stnum_muito_acima_do_padrao,8.631693023762432e-07,1.0854303329978945e-06,200052
rule_high_StNum_cb_status_timestamp_diff_delay_anomalous,8.631493609961399e-07,4.092045844620762e-06,200052
rule_inverse_replay_anomalous_frequency,8.621493694165985e-07,6.985333076411627e-06,200052
rule_masquerade_fake_fault_stnum_incremento_anormal,8.537216037840485e-07,5.850926892165522e-06,200052
rule_masquerade_fake_fault_falsification_consistente,8.497945832035677e-07,5.5094118220941605e-06,200052
rule_high_StNum_combinacao_de_campos_inconsistente,8.403921684204049e-07,2.5989428192347787e-06,200052
rule_inverse_replay_flood_packets,8.378757592287229e-07,3.598607928673835e-06,200052
rule_masquerade_fake_fault_sequence_jump,8.368689263170322e-07,1.2179827985762879e-06,200052
rule_inverse_replay_replay_old_packets,8.338849116619569e-07,5.749730033194436e-06,200052
rule_high_StNum_stnum_muito_acima_do_padrao,8.295852782871187e-07,5.8027453009324485e-06,200052
rule_masquerade_fake_fault_falsification_disjuntor,8.257272212021402e-07,1.934211214701047e-06,200052
rule_masquerade_fake_fault_timestampdiff_anormal,8.255241062288495e-07,4.800986845857736e-06,200052
rule_masquerade_fake_normal_jumps_stnum_time_diff,8.246332806366036e-07,3.1481001012744207e-06,200052
rule_masquerade_fake_fault_sqnum_com_pulos_anomalos,8.21849362217281e-07,8.757130654897845e-06,200052
rule_masquerade_fake_fault_stnum_muito_acima_do_padrao,8.189134479806569e-07,2.710627702025051e-06,200052
rule_masquerade_fake_fault_ethsrc_ethdst_injection,8.1876681473237e-07,4.332029189398888e-06,200052
rule_masquerade_fake_fault_jumps_stnum_time_diff,8.122322774791235e-07,5.804539750484223e-06,200052
rule_high_StNum_cb_status_go_id_reset,8.021321060094414e-07,4.533649116200232e-06,200052
rule_masquerade_fake_fault_combination,8.013939986765823e-07,1.539353555078838e-06,200052
rule_masquerade_fake_fault_combination3,7.998477760321734e-07,1.6966706951735345e-06,200052
rule_masquerade_fake_fault_falsification_address,7.98456386181871e-07,5.150576669430282e-06,200052
rule_injection_sqnum_com_pulos_anormais,7.947296495807953e-07,6.5875417939917616e-06,200052
rule_grayhole_timefromlastchange_com_padrao_anormal,7.93946786445196e-07,8.397557895013451e-07,200052
rule_inverse_replay_inconsistencia,7.938061633214958e-07,3.583757581480789e-06,200052
rule_inverse_replay_grayhole,7.937291803860569e-07,1.0044636160159396e-05,200052
rule_inverse_replay_frame_length_diff_desvio_padrao,7.790532996459472e-07,6.949362581726299e-06,200052
rule_high_StNum_cb_status_timestamp_diff_anomalous,7.767550380858298e-07,8.245169418403799e-07,200052
rule_inverse_replay_tdiff_anormal,7.731709307959556e-07,5.2918338822919415e-06,200052
rule_high_StNum_stnum_frame_length_diff_anomalous,7.692722145714833e-07,4.836919387060399e-06,200052
rule_high_StNum_cb_status_frame_length_diff_anomalous,7.674417565112158e-07,3.191429190227305e-06,200052
rule_masquerade_fake_fault_frequencia2,7.668830135794002e-07,1.367177576820133e-05,200052
rule_inverse_replay_mudanca_anomala_gooselengthdiff_apdusize,7.636020011954134e-07,4.621013375019209e-06,200052
rule_masquerade_fake_fault_combination2,7.614446406828865e-07,2.978014198124191e-06,200052
rule_grayhole_gooselength_diff,7.586830960550865e-07,1.3587025004553047e-05,200052
rule_masquerade_fake_fault_goose_length_diff_inconsistente,7.536725667931128e-07,8.29051516293885e-07,200052
rule_injection_goose_length_diff_anormal,7.511513607911124e-07,7.309190880984713e-07,200052
rule_random_replay_flood,7.444022729502999e-07,1.2931977125757617e-06,200052
rule_masquerade_fake_normal_anomaly,7.416568808596598e-07,7.444306905929657e-06,200052
rule_inverse_replay_frequencia_irregular_mudanca_delay,7.350549986634158e-07,1.1411030624877504e-06,200052
rule_grayhole_stnum_com_desvio_estatistico_anormal,7.30980780730802e-07,5.763898573572438e-06,200052
rule_poisoned_high_rate_injection,7.281518335130287e-07,1.8098869598391738e-06,200052
rule_high_StNum_frame_length_diff_correlated,7.268846935904636e-07,2.566013671126829e-06,200052
rule_high_StNum_injection,7.113267596366533e-07,1.37048686010077e-06,200052
rule_grayhole_sqnum,7.094953327434877e-07,5.833722064208756e-06,200052
rule_masquerade_fake_normal_reset,7.083000350645562e-07,1.8067996903832898e-06,200052
rule_masquerade_fake_fault_packet_frequency_anomaly,7.048009196935871e-07,5.189445173932428e-06,200052
rule_masquerade_fake_fault_cbstatus_goID_falsification,7.031518236748363e-07,3.701175650752713e-06,200052
rule_high_StNum_padrao_de_retransmissao_anormal,7.027148238274546e-07,6.597490509846128e-07,200052
rule_inverse_replay_timefromlastchange_anormal,7.023219828183725e-07,6.911149422752122e-07,200052
rule_masquerade_fake_fault_state_anomaly,6.987450452665584e-07,4.170313682466133e-06,200052
rule_masquerade_fake_fault_cbstatus_inconsistente,6.905668794374273e-07,3.2559245514519457e-06,200052
rule_masquerade_fake_fault_grayhole,6.825504181947048e-07,1.4836857666580153e-05,200052
rule_masquerade_fake_fault_frequencia,6.812302365804123e-07,7.239273469461505e-06,200052
rule_inverse_replay_eth_src_dst,6.758068295116878e-07,1.080916019773464e-06,200052
rule_masquerade_fake_normal_falsification,6.757761197492312e-07,3.911940409800139e-06,200052
rule_masquerade_fake_fault_time_diff_anomaly,6.718334146632049e-07,6.172500481152048e-06,200052
rule_poisoned_high_rate_combinacao_de_campos_inconsistente,6.691861284147054e-07,1.2546147822962526e-06,200052
rule_injection_timestampdiff,6.62780110784296e-07,4.974686590468099e-06,200052
rule_inverse_replay_cb_status_diff,6.622097783735165e-07,3.2621430135604213e-06,200052
rule_inverse_replay_padrao_alternancia,6.608609156065781e-07,1.2440631711561594e-06,200052
rule_masquerade_fake_fault_flood,6.550638142716807e-07,3.5676618594646835e-06,200052
rule_random_replay_sqnum_reset_pattern,6.54100650489957e-07,1.365061681403758e-06,200052
rule_high_StNum_replay_pattern,6.536897171684397e-07,7.873916526343633e-07,200052
rule_masquerade_fake_fault_frequency_anomaly,6.525089246688601e-07,6.368197699555314e-06,200052
rule_poisoned_high_rate_jumps_stnum_time_diff,6.51475376057253e-07,1.99145637388787e-06,200052
rule_inverse_replay_stnum,6.5124580068559e-07,3.5093457936720016e-06,200052
rule_poisoned_high_rate_sqnum_reset_pattern,6.458267211407929e-07,8.492531998587397e-07,200052
rule_inverse_replay_frequencia_irregular,6.451176946887113e-07,1.703442252996532e-06,200052
rule_high_StNum_stDiff_and_StNum,6.447147167044205e-07,3.700908609938031e-06,200052
rule_injection_stdiff,6.44183062377533e-07,2.293627233258841e-06,200052
rule_injection_sqdiff,6.422482285936286e-07,2.542336326524244e-06,200052
rule_poisoned_high_rate_injection_forged_packets,6.411832070972633e-07,8.236201830579766e-07,200052
rule_inverse_replay_falsificacao_consistente,6.407340059491965e-07,5.516811519508695e-06,200052
rule_high_StNum_delay_anomalous,6.276952435319523e-07,4.35329441105219e-06,200052
rule_grayhole_stnum,6.22621597032533e-07,9.692076157184943e-06,200052
rule_grayhole_apdusize_diff,6.222968053688491e-07,2.810870337995761e-06,200052
rule_inverse_replay_flood,6.21879271177631e-07,2.0006718711856106e-06,200052
rule_inverse_replay_pacotes_tdiff_grande,6.181941357803831e-07,7.804886004259655e-06,200052
rule_grayhole_goose_length,6.171972344606371e-07,4.879570331493365e-06,200052
rule_random_replay_replay_exato,6.107046608415746e-07,1.141696727770597e-06,200052
rule_random_replay_jumps_stnum_time_diff,6.089578741298354e-07,1.4114510234398704e-06,200052
rule_inverse_replay_apdu_size_diff_anormal,6.087481979850611e-07,1.8295654084583508e-06,200052
rule_grayhole_timediff,6.064419242590736e-07,2.5513668078733725e-06,200052
