,grayhole,high_StNum,injection,inverse_replay,masquerade_fake_fault,masquerade_fake_normal,normal,poisoned_high_rate,random_replay,unknown
grayhole,1.1355034065102196,0.0,98.86449659348978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_StNum,3.234501347708895,0.0,96.7654986522911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
injection,10.21857650177562,0.0,89.78142349822437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inverse_replay,3.9033922934308762,0.0,96.09660770656913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masquerade_fake_fault,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masquerade_fake_normal,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,1.9107310512827018,0.0,98.0892689487173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poisoned_high_rate,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_replay,3.2566173855611438,0.0,96.74338261443886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
