classe,precisao,recall,f1_score,suporte,acuracia_classe,total_amostras
grayhole,0.049461420092327985,0.011250562528126406,0.018331432295910055,19999.0,0.011250562528126406,19999.0
high_StNum,0.0,0.0,0.0,20000.0,0.0,20000.0
injection,0.10291073998268577,0.8975,0.18464893556832268,20000.0,0.8975,20000.0
inverse_replay,0.0,0.0,0.0,20000.0,0.0,20000.0
masquerade_fake_fault,0.0,0.0,0.0,20000.0,0.0,20000.0
masquerade_fake_normal,0.0,0.0,0.0,20000.0,0.0,20000.0
normal,0.0,0.0,0.0,39999.0,0.0,39999.0
poisoned_high_rate,0.0,0.0,0.0,20000.0,0.0,20000.0
random_replay,0.0,0.0,0.0,20000.0,0.0,20000.0
unknown,0.0,0.0,0.0,54.0,0.0,54.0
