sample_index,true_class,grayhole,high_StNum,injection,inverse_replay,masquerade_fake_fault,masquerade_fake_normal,normal,poisoned_high_rate,random_replay
0,grayhole,1,1,1,1,1,1,1,1,1
1,normal,1,1,1,1,1,1,1,0,1
2,injection,1,1,1,1,1,1,1,1,1
3,high_StNum,1,1,1,1,1,1,1,1,1
4,high_StNum,1,1,1,1,1,1,1,1,1
5,random_replay,1,1,1,1,1,1,1,1,1
6,high_StNum,1,1,1,1,1,1,1,1,1
7,high_StNum,1,1,1,1,1,1,1,1,1
8,normal,1,0,1,1,1,1,1,1,1
9,grayhole,1,0,1,1,1,1,1,0,1
10,normal,1,0,1,1,1,1,1,1,1
11,injection,1,1,1,1,1,1,1,1,1
12,injection,1,1,1,1,1,1,1,1,1
13,random_replay,1,0,1,1,1,1,1,1,1
14,injection,1,1,1,1,1,1,1,1,1
15,high_StNum,1,1,1,1,1,1,1,1,1
16,random_replay,1,0,1,1,1,1,1,1,1
17,random_replay,1,0,1,1,1,1,1,1,1
18,normal,1,0,1,1,1,1,1,1,1
19,grayhole,1,0,1,1,1,1,1,0,1
20,normal,1,0,1,1,1,1,1,1,1
21,high_StNum,1,1,1,1,1,1,1,1,1
22,injection,1,1,1,1,1,1,1,1,1
23,injection,1,1,1,1,1,1,1,1,1
24,injection,1,1,1,1,1,1,1,1,1
25,normal,1,0,1,1,1,1,1,1,1
26,grayhole,1,0,1,1,1,1,1,0,1
27,normal,1,0,1,1,1,1,1,1,1
28,high_StNum,1,1,1,1,1,1,1,1,1
29,injection,1,1,1,1,1,1,1,1,1
30,injection,1,1,1,1,1,1,1,1,1
31,random_replay,1,0,1,1,1,1,1,1,1
32,injection,1,1,1,1,1,1,1,1,1
33,injection,1,1,1,1,1,1,1,1,1
34,normal,1,0,1,1,1,1,1,1,1
35,grayhole,1,0,1,1,1,1,1,0,1
36,normal,1,0,1,1,1,1,1,1,1
37,injection,1,1,1,1,1,1,1,1,1
38,normal,1,0,1,1,1,1,1,1,1
39,grayhole,1,0,1,1,1,1,1,0,1
40,normal,1,0,1,1,1,1,1,1,1
41,high_StNum,1,1,1,1,1,1,1,1,1
42,high_StNum,1,1,1,1,1,1,1,1,1
43,random_replay,1,0,1,1,1,1,1,1,1
44,normal,1,0,1,1,1,1,1,1,1
45,grayhole,1,0,1,1,1,1,1,0,1
46,high_StNum,1,1,1,1,1,1,1,1,1
47,normal,1,0,1,1,1,1,1,1,1
48,normal,1,1,1,1,1,1,1,1,1
49,normal,1,1,1,1,1,1,1,1,1
50,normal,1,1,1,1,1,1,1,1,1
51,masquerade_fake_normal,1,1,1,1,1,1,1,1,1
52,masquerade_fake_normal,1,1,1,1,1,1,1,1,1
53,masquerade_fake_normal,1,1,1,1,1,1,1,1,1
54,normal,1,1,1,1,1,1,1,1,1
55,masquerade_fake_normal,1,1,1,1,1,1,1,1,1
56,normal,1,1,1,1,1,1,1,1,1
57,normal,1,1,1,1,1,1,1,1,1
58,normal,1,1,1,1,1,1,1,1,1
59,random_replay,1,1,1,1,1,1,1,1,1
60,normal,1,1,1,1,1,1,1,1,1
61,random_replay,1,1,1,1,1,1,1,1,1
62,masquerade_fake_normal,1,1,1,1,1,1,1,1,1
63,normal,1,1,1,1,1,1,1,1,1
64,high_StNum,1,1,1,1,1,1,1,1,1
65,random_replay,1,1,1,1,1,1,1,1,1
66,random_replay,1,1,1,1,1,1,1,1,1
67,high_StNum,1,1,1,1,1,1,1,1,1
68,normal,1,0,1,1,1,1,1,1,1
69,grayhole,1,0,1,1,1,1,1,0,1
