Regra,Média (µs),DP (µs),Min (µs),Max (µs),P99 (µs)
rule_random_replay_delay_anomalia,0.3138,0.3426,0.246,79.503,0.734
rule_high_StNum_delay_anomalous,0.318,0.6202,0.243,152.127,0.75
rule_high_StNum_frequencia_pattern,0.3195,0.7246,0.25,298.757,0.732
rule_grayhole_delay_out_of_range,0.3197,0.3851,0.254,74.816,0.739
rule_grayhole_delay,0.3222,0.8664,0.246,333.794,0.739
rule_random_replay_cb_status_diff_alternancia,0.3289,0.4884,0.238,163.131,0.737
rule_high_StNum_frequencia,0.3293,1.3948,0.249,538.037,0.77
rule_random_replay_cb_status_diff_incremento_anomalo,0.336,1.0884,0.233,390.665,0.795
rule_high_StNum_StNum,0.3386,0.9179,0.22,333.889,0.673
rule_random_replay_cb_status_diff_anomalia,0.3402,0.9672,0.245,302.109,0.758
rule_grayhole_delay_outlier,0.342,0.9044,0.254,335.879,0.807
rule_injection_ethdst_falsification,0.3421,0.9309,0.267,343.531,0.764
rule_grayhole_stnum_zero,0.345,1.1978,0.211,358.073,0.684
rule_grayhole_delay_replay,0.3459,0.4219,0.251,68.104,0.761
rule_inverse_replay_cb_status_diff,0.3463,0.7258,0.245,195.635,0.795
rule_high_StNum_combined,0.3481,0.3479,0.224,91.005,0.802
rule_grayhole_combined,0.3546,1.0055,0.213,337.008,0.71
rule_grayhole_injection,0.3566,0.7402,0.269,246.586,0.766
rule_grayhole_stnum,0.3574,1.0901,0.215,383.855,0.812
rule_grayhole_sqdiff_zero,0.3602,1.3457,0.21,423.441,0.739
rule_high_StNum_timeFromLastChange,0.3606,0.9049,0.219,353.729,0.752
rule_grayhole_delay_anomalous,0.3616,1.0848,0.243,353.157,0.816
rule_grayhole_goose_length,0.3621,0.6447,0.213,125.018,0.739
rule_inverse_replay_go_id,0.365,0.5246,0.239,127.75,0.715
rule_random_replay_st_num_incremento_anomalia,0.3656,1.3932,0.239,602.112,0.707
rule_masquerade_fake_fault_falsification_address,0.3663,0.4824,0.269,130.971,0.816
rule_high_StNum_stDiff,0.3665,0.4232,0.215,133.994,0.735
rule_masquerade_fake_normal_falsification_eth_src_dst,0.3671,0.9495,0.252,354.285,0.818
rule_inverse_replay_delay,0.3671,0.6875,0.245,143.407,0.844
rule_injection_cb_status_alterado,0.3695,0.8961,0.288,344.409,0.841
rule_grayhole_timestampdiff_zero,0.3712,1.1055,0.21,357.425,0.763
rule_grayhole_apdu_size,0.3714,1.2002,0.212,405.806,0.765
rule_random_replay_sq_num_incremento_anomalia,0.3719,0.3985,0.238,37.47,0.75
rule_grayhole_goose_length_diff_change_sense,0.3724,0.9407,0.286,371.323,0.862
rule_random_replay_cb_status_diff_frequencia_irregular,0.3743,0.936,0.236,299.329,0.843
rule_masquerade_fake_fault_flood,0.3758,1.6131,0.237,683.677,0.743
rule_inverse_replay_pacotes_timestamp_diff_pequeno,0.376,0.8417,0.247,346.493,0.726
rule_grayhole_frame_length_diff,0.3789,0.5752,0.238,119.057,0.759
rule_inverse_replay_flood,0.3789,0.392,0.248,128.649,0.755
rule_masquerade_fake_fault_grayhole,0.38,0.9307,0.25,359.221,0.734
rule_random_replay_frame_length_diff_incremento_anomalo,0.3801,0.9972,0.231,212.046,0.759
rule_grayhole_frame_length_diff_change_sense,0.3802,1.0532,0.287,425.618,0.895
rule_injection_timestampdiff,0.3802,1.0582,0.236,334.434,0.742
rule_grayhole_falsification,0.382,0.8564,0.296,348.407,0.841
rule_grayhole_irregular_intervals,0.3822,0.5257,0.252,168.146,0.746
rule_grayhole_apdusize_diff,0.3825,0.5224,0.241,128.372,0.785
rule_grayhole_frame_length_diff_change_sense_sequence,0.3833,0.9413,0.288,313.992,0.856
rule_random_replay_frame_length_diff_frequencia_irregular,0.3836,0.3028,0.243,35.441,0.745
rule_masquerade_fake_fault_packet_frequency_anomaly,0.3841,1.0996,0.25,317.032,0.7465
rule_random_replay_apdu_size_diff_frequencia_irregular,0.3842,0.5526,0.233,160.208,0.789
rule_random_replay_timestamp_diff_frequencia_irregular,0.3843,0.7408,0.24,261.137,0.77
rule_random_replay_frame_length_diff_alternancia,0.3845,0.4345,0.235,94.722,0.764
rule_grayhole_frame_length_diff_out_of_range,0.3852,0.502,0.243,142.729,0.759
rule_high_StNum_stDiff_and_StNum,0.3852,0.3957,0.223,79.575,0.795
rule_masquerade_fake_fault_frequencia,0.3855,1.0244,0.237,323.141,0.792
rule_masquerade_fake_normal_anomaly,0.3859,0.6464,0.244,212.503,0.775
rule_grayhole_timediff,0.386,0.9271,0.23,301.033,0.826
rule_random_replay_large_sqdiff,0.3864,0.9372,0.235,350.03,0.769
rule_injection_tdiff,0.3871,2.3308,0.212,938.499,0.764
rule_random_replay_cb_status_alterado,0.3882,0.4862,0.241,125.436,0.787
rule_poisoned_high_rate_timefromlastchange,0.3885,0.5338,0.241,134.557,0.7835
rule_high_StNum_temporal_pattern,0.3887,1.1922,0.29,379.774,0.89
rule_grayhole_gooselength_diff,0.3888,0.547,0.241,130.821,0.774
rule_injection_ethsrc_ethdst_outside_topology,0.3888,0.5252,0.293,129.17,0.834
rule_random_replay_goose_length_diff_frequencia_irregular,0.3891,0.949,0.233,340.187,0.752
rule_masquerade_fake_fault_frequency_anomaly,0.3905,0.9484,0.251,330.347,0.786
rule_poisoned_high_rate_sqnum,0.3906,1.1531,0.218,261.257,0.8135
rule_random_replay_apdu_size_diff_alternancia,0.3911,1.8615,0.236,535.981,0.769
rule_injection_ethsrc_falsification,0.3916,0.8815,0.269,299.799,0.799
rule_masquerade_fake_fault_cbstatus_goID_falsification,0.3918,0.8267,0.295,307.082,0.913
rule_masquerade_fake_fault_falsification_disjuntor_consistent_sequence,0.3923,1.1222,0.292,369.35,0.868
rule_inverse_replay_frequency_irregular,0.3926,0.7353,0.252,193.06,0.784
rule_grayhole_timestamp_diff_outlier,0.3927,0.7196,0.251,170.359,0.774
rule_random_replay_apdu_size_diff_anomalia,0.3933,0.4374,0.244,127.945,0.772
rule_inverse_replay_frequencia_irregular,0.3934,1.1723,0.251,330.005,0.783
rule_masquerade_fake_fault_disjuntor_falsification_consistent,0.3935,0.4883,0.292,116.556,0.908
rule_masquerade_fake_fault_falsification_disjuntor_consistent,0.3942,0.9665,0.292,199.884,0.872
rule_inverse_replay_pacotes_frame_length_diff_grande,0.3949,0.687,0.241,211.247,0.797
rule_inverse_replay_eth_src_dst,0.3955,0.9715,0.271,330.189,0.8335
rule_injection_sqdiff,0.3966,1.0165,0.231,368.662,0.801
rule_inverse_replay_timestamp_diff,0.397,1.2163,0.251,366.078,0.806
rule_high_StNum_temporal,0.3972,0.8325,0.31,310.115,0.881
rule_grayhole_goose_length_diff_change_sense_sequence,0.3981,1.0374,0.286,348.82,0.944
rule_poisoned_high_rate_combined,0.3988,0.9074,0.242,202.211,0.822
rule_grayhole_timestamp_diff_out_of_range,0.3988,0.4454,0.25,82.903,0.8085
rule_masquerade_fake_fault_frequencia2,0.3994,1.0215,0.26,344.625,0.761
rule_grayhole_frame_length,0.3994,0.9998,0.214,341.403,0.844
rule_masquerade_fake_normal_frequencia_irregular_mensagens,0.4,0.9437,0.248,319.275,0.834
rule_inverse_replay_falsificacao_consistente,0.4,0.3246,0.306,21.151,0.903
