Regra,Média (µs),DP (µs),Min (µs),Max (µs),P99 (µs)
rule_masquerade_fake_normal_unusual_delay,0.1646,0.1745,0.139,22.56,0.34
rule_grayhole_apdu_size,0.1705,0.1789,0.139,31.18,0.38
rule_random_replay_apdu_size_diff_incremento_anomalo,0.1728,0.1644,0.14,45.869,0.38
rule_high_StNum_timeFromLastChange,0.1779,0.414,0.14,110.081,0.38
rule_grayhole_frame_length,0.1795,1.0196,0.14,361.27,0.41
rule_random_replay_frame_length_diff_alternancia,0.1799,0.5358,0.149,211.451,0.39
rule_grayhole_frame_length_diff_outlier,0.18,0.1868,0.15,33.7,0.39
rule_injection_timefromlastchange,0.1807,0.1717,0.149,18.6,0.33
rule_random_replay_frame_length_diff_incremento_anomalo,0.1816,0.2161,0.149,41.0,0.4
rule_random_replay_apdu_size_diff_alternancia,0.1817,0.7382,0.149,314.1,0.41
rule_high_StNum_delay_anomalous,0.1824,0.1673,0.159,18.48,0.35
rule_random_replay_apdu_size_diff_anomalia,0.1831,0.214,0.149,38.81,0.4
rule_grayhole_delay,0.1832,0.1999,0.159,47.711,0.371
rule_random_replay_apdu_size_diff_frequencia_irregular,0.1841,0.3031,0.149,68.89,0.43
rule_masquerade_fake_fault_timestampdiff,0.1861,0.1872,0.149,20.24,0.41
rule_injection_timestampdiff,0.1866,0.1603,0.15,19.86,0.39
rule_random_replay_timestamp_diff_alternancia,0.187,0.2229,0.149,50.76,0.4
rule_masquerade_fake_normal_mudancas_anomalias_go_id,0.1883,0.4735,0.149,171.13,0.42
rule_grayhole_sqnum_jumps,0.1886,0.1365,0.16,17.5,0.35
rule_masquerade_fake_normal_frequencia_anomalia_go_id,0.189,0.2793,0.149,86.7,0.409
rule_grayhole_apdusize_diff,0.189,0.7715,0.15,244.41,0.43
rule_masquerade_fake_normal_falsification,0.189,0.147,0.149,18.24,0.38
rule_random_replay_frame_length_diff_anomalia,0.1892,0.4665,0.149,162.69,0.409
rule_inverse_replay_go_id,0.1894,0.3951,0.149,143.66,0.43
rule_random_replay_timestamp_diff_incremento_anomalo,0.1895,0.6051,0.149,257.27,0.41
rule_grayhole_delay_anomalous,0.1905,0.295,0.16,96.26,0.4
rule_inverse_replay_rajada_de_pacotes,0.1906,0.3298,0.149,119.72,0.4
rule_injection_timestamp_diff_anomaly,0.1911,0.1906,0.15,41.27,0.4
rule_inverse_replay_frequencia_irregular,0.192,0.183,0.15,28.08,0.42
rule_inverse_replay_pacotes_timestamp_diff_pequeno,0.1931,0.3704,0.15,136.51,0.4
rule_masquerade_fake_normal_timestamp_diff_outside_normal_range,0.1932,0.3022,0.15,68.36,0.4
rule_masquerade_fake_fault_packet_frequency_anomaly,0.1933,0.241,0.16,63.68,0.41
rule_inverse_replay_timestamp_diff,0.1937,0.1898,0.149,30.57,0.42
rule_random_replay_frame_length_diff_frequencia_irregular,0.1939,0.2192,0.149,30.18,0.45
rule_masquerade_fake_fault_timestamp_anomaly,0.1944,0.2481,0.15,59.93,0.43
rule_inverse_replay_cb_status,0.1944,0.1745,0.149,19.11,0.41
rule_masquerade_fake_normal_pacotes_desaparecem_reaparecem_sq_num,0.1944,0.1977,0.15,25.25,0.46
rule_masquerade_fake_normal_anomaly,0.1945,0.1703,0.15,24.08,0.44
rule_injection_tdiff,0.195,0.2019,0.139,20.77,0.48
rule_random_replay_flood_rajada,0.1961,0.2361,0.15,69.23,0.45
rule_inverse_replay_flood,0.1965,0.6789,0.15,295.17,0.45
rule_masquerade_fake_normal_falsification_eth_src_dst,0.1976,0.8129,0.16,343.09,0.44
rule_masquerade_fake_normal_rajada_pacotes_intervalo_curto,0.198,1.043,0.15,387.5,0.42
rule_masquerade_fake_normal_falsification_cb_status,0.1985,0.7388,0.14,194.22,0.47
rule_random_replay_goose_length_diff_alternancia,0.1993,0.4,0.15,151.75,0.46
rule_masquerade_fake_normal_mudancas_anomalias_estado_disjuntor,0.1998,0.2185,0.15,26.42,0.48
rule_grayhole_delay_replay,0.1999,0.179,0.16,22.54,0.44
rule_random_replay_replay_consistente,0.2,0.2057,0.151,37.77,0.48
rule_grayhole_timefromlastchange_replay,0.2002,0.7003,0.151,301.639,0.41
rule_random_replay_apdu_size_diff_desvio,0.2007,0.4672,0.16,141.42,0.449
rule_grayhole_delay_outlier,0.2009,0.8157,0.159,301.63,0.47
rule_grayhole_injection,0.2015,0.245,0.17,52.43,0.42
rule_random_replay_frame_length_diff_desvio,0.2017,0.6032,0.16,172.4,0.42
rule_grayhole_timediff,0.2021,0.4431,0.14,136.93,0.48
rule_grayhole_goose_length,0.2023,0.7784,0.139,298.36,0.491
rule_grayhole_irregular_intervals,0.2025,0.588,0.149,145.49,0.451
rule_masquerade_fake_normal_frequencia_irregular_mensagens,0.2026,0.8539,0.16,337.91,0.44
rule_random_replay_timestamp_diff_desvio,0.2028,0.222,0.16,48.97,0.44
rule_inverse_replay_frequency_irregular,0.2029,0.2037,0.15,26.75,0.5
rule_injection_ethdst_falsification,0.2034,0.1891,0.169,31.06,0.44
rule_masquerade_fake_fault_falsification_address,0.2036,0.2915,0.169,59.84,0.42
rule_masquerade_fake_normal_mudancas_anomalias_t_diff,0.2037,0.2517,0.149,54.76,0.46
rule_masquerade_fake_normal_frequencia_anomalia_estado_disjuntor,0.2037,0.9771,0.149,380.47,0.47
rule_masquerade_fake_fault_frequency_anomaly,0.2039,1.9551,0.15,865.74,0.46
rule_injection_sqdiff,0.2043,0.6725,0.149,286.98,0.469
rule_random_replay_cb_status_diff_alternancia,0.2051,0.1787,0.149,22.25,0.47
rule_masquerade_fake_fault_state_change_anomaly_sequence,0.206,0.3776,0.15,122.641,0.42
rule_random_replay_goose_length_diff_frequencia_irregular,0.2064,0.7986,0.14,312.47,0.5
rule_grayhole_goose_length_diff_change_sense_sequence,0.2066,0.1572,0.18,18.17,0.41
rule_masquerade_fake_fault_packet_frequency_anomaly_sequence,0.2072,0.896,0.159,370.42,0.49
rule_inverse_replay_eth_src_dst,0.2076,0.2785,0.169,51.68,0.45
rule_grayhole_cbstatus_change_sense,0.2083,0.187,0.16,16.89,0.45
rule_grayhole_goose_length_diff_injection,0.2086,0.3374,0.18,130.62,0.4
rule_random_replay_goose_length_diff_incremento_anomalo,0.2087,0.3006,0.14,61.0,0.52
