regra,latencia_media_segundos,latencia_std_segundos,num_chamadas
rule_random_replay_flood,1.2674424284079864e-06,1.887196923031986e-06,200052
rule_poisoned_high_rate_injection,1.248700735455401e-06,5.848776589800096e-06,200052
rule_poisoned_high_rate_injection_forged_packets,1.2268185716365967e-06,9.494541714034029e-06,200052
rule_masquerade_fake_normal_combined,1.1883257729357124e-06,7.84468573309723e-06,200052
rule_random_replay_sqnum_reset_pattern,1.1494392544821598e-06,5.098378461739884e-06,200052
rule_poisoned_high_rate_sqnum_reset_pattern,1.1355645015218094e-06,2.7429209313189433e-06,200052
rule_random_replay_jumps_stnum_time_diff,1.1141890571941796e-06,2.4901482593759127e-06,200052
rule_random_replay_replay,1.081200306880022e-06,1.8401401297995842e-06,200052
rule_inverse_replay_combined,1.0793835902130465e-06,3.011963542396989e-06,200052
rule_random_replay_go_id_alterado,1.0447105819708125e-06,1.9490622456178642e-06,200052
rule_poisoned_high_rate_combination,1.0428463583764598e-06,2.348399625811083e-06,200052
rule_high_StNum_falsification_sqnum,9.464886751275082e-07,4.766490526957192e-06,200052
rule_poisoned_high_rate_reset_pattern,9.347050998688061e-07,2.511629106575085e-06,200052
rule_masquerade_fake_normal_diferenca_significativa_goose_length_diff_apdu_size_diff_frame_length_diff,9.310800482778517e-07,8.318788033353958e-06,200052
rule_random_replay_falsification_state,8.964830487280715e-07,7.492030607000127e-06,200052
rule_masquerade_fake_normal_desvio_significativo_tráfego_normal,8.947477212258604e-07,7.140705694406566e-06,200052
rule_poisoned_high_rate_falsification,8.834566123253801e-07,3.557711205885955e-06,200052
rule_random_replay_grayhole_desaparecimento,8.573122548876656e-07,1.1380392404779548e-05,200052
rule_poisoned_high_rate_jumps_stnum_time_diff,8.378781525602209e-07,4.762752656264515e-06,200052
rule_random_replay_falsification,8.279742904746237e-07,3.305055212275247e-06,200052
rule_masquerade_fake_fault_combined,7.981528925753139e-07,6.868864511143084e-07,200052
rule_inverse_replay_cbstatus_diff,7.805787962021594e-07,2.4702237622960055e-06,200052
rule_grayhole_sqnum_stnum_diff,7.678523376224402e-07,7.362237730414028e-06,200052
rule_grayhole_eth_src_dst_diff,7.62267790334838e-07,1.3609988324466534e-06,200052
rule_random_replay_masquerade_falsificacao,7.557036209993433e-07,6.727635330629957e-06,200052
rule_grayhole_delay_replay,7.540587744719731e-07,1.2612012507321012e-05,200052
rule_masquerade_fake_normal_repeticao_exata_pacotes_antigos,7.538437861310938e-07,1.596612778257016e-06,200052
rule_masquerade_fake_normal_large_sqdiff,7.483929729990003e-07,1.1799550969364987e-05,200052
rule_random_replay_apdu_size_diff_desvio,7.464283571597846e-07,8.140356500782394e-06,200052
rule_masquerade_fake_normal_diferenca_significativa_goose_length_diff_apdu_size_diff,7.368428101001313e-07,1.7053043937404819e-06,200052
rule_inverse_replay_stnum,7.314563526789287e-07,2.8548159000821582e-06,200052
rule_masquerade_fake_normal_mudancas_anomalias_cb_status_go_id,7.295329693938578e-07,5.031934243254978e-06,200052
rule_masquerade_fake_normal_diferenca_significativa_delay_time_from_last_change,7.257121959724358e-07,7.710684867509212e-07,200052
rule_masquerade_fake_normal_diferenca_significativa_frame_length_diff_timestamp_diff,7.162830502229101e-07,3.78023366731153e-06,200052
rule_random_replay_cb_status_diff_desvio,7.134947082074286e-07,6.3142177625454285e-06,200052
rule_masquerade_fake_normal_frequencia_anomalia_cb_status_go_id,7.0902722693344e-07,2.9979616141741858e-06,200052
rule_inverse_replay_stdiff_sqdiff,7.078041034956958e-07,4.153069449201478e-06,200052
rule_random_replay_st_num_incremento_anomalo,7.04384949262969e-07,4.463664877578364e-06,200052
rule_masquerade_fake_fault_stdiff,7.026876619544931e-07,5.244471372048139e-06,200052
rule_poisoned_high_rate_statistical_anomaly,7.004506165273013e-07,2.3645366319194216e-06,200052
rule_masquerade_fake_normal_zero_timestampdiff,6.993301785474873e-07,2.9851971770817735e-06,200052
rule_masquerade_fake_normal_large_stdiff,6.97006989516649e-07,5.952026728820963e-06,200052
rule_random_replay_replay_consistente,6.967586615200847e-07,9.517157088972485e-06,200052
rule_masquerade_fake_normal_mudancas_anomalias_estado_disjuntor,6.9627522755191e-07,7.727675601809471e-06,200052
rule_poisoned_high_rate_stnum,6.941710855091082e-07,2.369066061429151e-06,200052
rule_inverse_replay_frame_length_diff,6.891541649251003e-07,7.151108723072874e-06,200052
rule_grayhole_frame_length_diff_injection,6.87344657521643e-07,5.11243169374493e-06,200052
rule_poisoned_high_rate_frequency,6.87098689859593e-07,1.3780663191455566e-06,200052
rule_poisoned_high_rate_flood,6.825692449878053e-07,5.471267053295556e-06,200052
rule_random_replay_sq_num_incremento_anomalo,6.824468046750185e-07,3.0224007277855873e-06,200052
rule_grayhole_goose_length_diff_injection,6.816264925181492e-07,2.750848792755044e-06,200052
rule_grayhole_frame_length_diff_time_diff,6.761951391320403e-07,4.361529022974539e-06,200052
rule_grayhole_cb_status_reset,6.740887657239207e-07,6.8278519727523865e-06,200052
rule_masquerade_fake_fault_sqdiff,6.73959262865534e-07,5.19454870705173e-06,200052
rule_random_replay_timestamp_diff_desvio,6.735424178193624e-07,6.702255059375483e-06,200052
rule_grayhole_cbstatus_falsification,6.730217437774739e-07,4.0334585689188385e-06,200052
rule_grayhole_jumps_apdu_size_diff,6.649443566552588e-07,2.3810876115153556e-06,200052
rule_random_replay_replay_exato,6.502976659796626e-07,1.054807542820531e-06,200052
rule_inverse_replay_sqnum,6.494136283461042e-07,9.235875121127337e-06,200052
rule_random_replay_goose_length_diff_desvio,6.472396187231849e-07,1.3349687486164524e-06,200052
rule_poisoned_high_rate_falsification_state,6.363788396967553e-07,2.501534796127289e-06,200052
rule_inverse_replay_pattern_alternance,6.333637861277207e-07,1.0093098188392886e-06,200052
rule_masquerade_fake_normal_frequencia_anomalia_estado_disjuntor,6.322551468835744e-07,4.932957111846728e-06,200052
rule_masquerade_fake_fault_replay,6.311774535362639e-07,1.156951077359687e-06,200052
rule_high_StNum_injection,6.306486172736089e-07,8.079543789832774e-07,200052
rule_masquerade_fake_fault_timestampdiff,6.25963138622989e-07,4.055430008481699e-06,200052
rule_inverse_replay_padrao_alternancia,6.245267032984387e-07,8.948973045541251e-07,200052
rule_inverse_replay_timestamp_diff_muito_grande,6.210826076196912e-07,3.9906079490749975e-06,200052
rule_random_replay_flood_rajada,6.200356353369179e-07,4.467107803909846e-06,200052
rule_grayhole_timefromlastchange_replay,6.190841531238383e-07,6.902749834726892e-07,200052
rule_masquerade_fake_normal_rajada_pacotes_intervalo_curto,6.175534025276816e-07,5.026196156305128e-06,200052
rule_masquerade_fake_fault_estatistica2,6.109489584507296e-07,8.66431628529267e-07,200052
rule_masquerade_fake_fault_sqnum_reset_pattern,6.064497208579872e-07,8.672902457698692e-07,200052
rule_masquerade_fake_normal_frequencia_anomalia_go_id,6.024789889852319e-07,2.0705448014563836e-06,200052
rule_masquerade_fake_normal_pacotes_desaparecem_reaparecem_sq_num,6.00429604068134e-07,4.973399148252642e-07,200052
rule_injection_valores_que_nunca_aparecem_no_trafego_normal,5.990719338343728e-07,1.1608712817989883e-06,200052
rule_masquerade_fake_normal_unusual_delay,5.95320913362875e-07,6.523254452335807e-06,200052
rule_masquerade_fake_normal_falsification_cb_status,5.90744855992002e-07,3.7338184803566816e-06,200052
rule_inverse_replay_replay,5.873595554550446e-07,7.688051107071048e-07,200052
rule_masquerade_fake_fault_rapid_packets,5.872749426786632e-07,1.4663776681100852e-06,200052
rule_masquerade_fake_fault_packet_reappearance,5.857924834815699e-07,8.882715327597652e-07,200052
rule_high_StNum_replay_pattern,5.850004467572029e-07,9.284005110761884e-07,200052
rule_random_replay_frame_length_diff_desvio,5.820920698990309e-07,9.403886621155299e-07,200052
rule_masquerade_fake_normal_high_stnum,5.820746098211655e-07,7.13702024116875e-07,200052
rule_masquerade_fake_normal_mudancas_anomalias_go_id,5.817971513528764e-07,4.825196896325456e-07,200052
rule_injection_combined,5.791391635797858e-07,1.011300375626077e-06,200052
rule_masquerade_fake_normal_frequencia_anomalia_t_diff,5.743234806234677e-07,3.0540204243248514e-06,200052
rule_masquerade_fake_fault_time_anomaly_sequence,5.739941865491159e-07,2.957854950023045e-06,200052
rule_poisoned_high_rate_pattern_specific,5.725320707697735e-07,1.092670194686989e-06,200052
rule_masquerade_fake_fault_time_anomaly,5.722585432524065e-07,3.7072528029624786e-06,200052
rule_poisoned_high_rate_replay,5.700937679021535e-07,5.473603923445339e-07,200052
rule_injection_incrementos_anomais_em_sequencia,5.693424369622309e-07,1.0833815667177663e-06,200052
rule_masquerade_fake_normal_mudancas_anomalias_t_diff,5.690480816015716e-07,4.080852546290526e-06,200052
rule_high_StNum_injection_forged_packets,5.62095746544942e-07,9.476252999396376e-07,200052
